t,u,y
1400,4.0,5.548312050348982
1410,4.0,5.551321003808547
1420,4.0,5.554169050939071
1430,4.0,5.5568640928968
1440,4.0,5.559413714234549
1450,4.0,5.561825188422045
1460,4.0,5.5641054840394455
1470,4.0,5.56626127155421
1480,4.0,5.568298930594941
1490,4.0,5.570224557640086
1500,4.0,5.572043974044145
1510,4.0,5.573762734329254
1520,4.0,5.575386134675362
1530,4.0,5.576919221547775
1540,4.0,5.5783668004063065
1550,4.0,5.5797334444457425
1560,4.0,5.581023503322527
1570,4.0,5.582241111827675
1580,4.0,5.583390198470713
1590,4.0,5.58447449394396
1600,4.0,5.585497539440715
1610,4.0,5.586462694804836
1620,4.0,5.5873731464928165
1630,4.0,5.588231915332792
1640,4.0,5.589041864067919
1650,4.0,5.589805704674291
1660,4.0,5.590526005446033
1670,4.0,5.591205197842395
1680,4.0,5.591845583093601
1690,4.0,5.592449338563939
1700,4.0,5.593018523872097
1710,4.0,5.593555086770024
1720,4.0,5.594060868782748
1730,4.0,5.594537610612534
1740,4.0,5.594986957311598
1750,4.0,5.59541046322824
1760,4.0,5.5958095967318595
1770,4.0,5.596185744722733
1780,4.0,5.5965402169328
1790,4.0,5.596874250023994
1800,6.5,5.603506041241379
1810,6.5,5.688164400245352
1820,6.5,5.780727163026606
1830,6.5,5.884522273135634
1840,6.5,6.00504727820754
1850,6.5,6.152505014463799
1860,6.5,6.349595676253122
1870,6.5,6.6677729423860574
1880,6.5,8.282376861514646
1890,6.5,10.673071105664112
1900,6.5,10.962644830090623
1910,6.5,11.124233653346812
1920,6.5,11.234071404607693
1930,6.5,11.31576851151282
1940,6.5,11.37978637744352
1950,6.5,11.431687980353466
1960,6.5,11.474786782860113
1970,6.5,11.511216527195527
1980,6.5,11.542432116924994
1990,6.5,11.56946998064559
2000,6.5,11.59309444567182
2010,6.5,11.61388521698553
2020,6.5,11.632292292334009
2030,6.5,11.648671857698073
2040,6.5,11.66331055901357
2050,6.5,11.676442394058702
2060,6.5,11.688260763933542
2070,6.5,11.698927259163268
2080,6.5,11.708578188172833
2090,6.5,11.717329510719923
2100,6.5,11.725280622538932
2110,6.5,11.732517298251208
2120,6.5,11.739114007909677
2130,6.5,11.745135760870538
2140,6.5,11.750639588402427
2150,6.5,11.755675746953003
2160,6.5,11.760288703098881
2170,6.5,11.764517946187068
2180,6.5,11.76839866373843
2190,6.5,11.771962306620166
2200,6.5,11.775237064982006
2210,6.5,11.778248271421276
2220,6.5,11.781018744395745
2230,6.5,11.783569082257507
2240,6.5,11.78591791623279
2250,6.5,11.788082129073844
2260,6.5,11.790077044852096
2270,6.5,11.791916594366493
2280,6.5,11.793613459847565
2290,6.5,11.795179202001473
2300,6.5,11.796624371924914
2310,6.5,11.797958610005244
2320,6.5,11.79919073358035
2330,6.5,11.80032881485435
2340,6.5,11.801380250335656
2350,6.5,11.802351822874092
2360,6.5,11.803249757215886
2370,6.5,11.80407976986358
2380,6.5,11.804847113917509
2390,6.5,11.805556619482514
2400,6.5,11.806212730145145
2410,6.5,11.80681953596005
2420,6.5,11.807380803327689
2430,6.5,11.807900002097222
2440,6.5,11.808380330187102
2450,6.5,11.808824735980336
2460,6.5,11.809235938720885
2470,6.5,11.809616447111111
2480,6.5,11.809968576287412
2490,6.5,11.810294463331118
2500,6.5,11.810596081454527
2510,6.5,11.810875252986673
2520,6.5,11.811133661270205
2530,6.5,11.811372861569073
2540,6.5,11.81159429107644
2550,6.5,11.811799278103194
2560,6.5,11.811989050519378
2570,6.5,11.812164743513806
2580,6.5,11.812327406730788
2590,6.5,11.812478010837227
2600,6.5,11.812617453568423
2610,6.5,11.812746565296356
2620,6.5,11.812866114160249
2630,6.5,11.812976810795591
2640,6.5,11.813079312694573
2650,6.5,11.813174228227954
2660,6.5,11.8132621203558
2670,6.5,11.813343510052071
2680,6.5,11.81341887946599
2690,6.5,11.813488674841096
2700,1.5,11.805964961005072
2710,1.5,11.697561253118876
2720,1.5,11.55999117736348
2730,1.5,11.368285077986599
2740,1.5,11.03910894695881
2750,1.5,7.423198003950609
2760,1.5,6.296778501850223
2770,1.5,6.011775272433115
2780,1.5,5.840972810131663
2790,1.5,5.7186618460933065
2800,1.5,5.623383885461807
2810,1.5,5.545401146253209
