t,x1,x2,y,u
1100.0,2.5103963548000448e-05,2.489603645199955e-05,7.0781429285461295,4.98
1110.0,2.510049645737045e-05,2.4899503542629556e-05,7.092916033745871,4.98
1120.0,2.509725253737451e-05,2.4902747462625492e-05,7.107204116557014,4.98
1130.0,2.5094217422904466e-05,2.4905782577095536e-05,7.121007907923409,4.98
1140.0,2.509137767350936e-05,2.4908622326490646e-05,7.13432918568149,4.98
1150.0,2.5088720713876834e-05,2.4911279286123168e-05,7.147170761979221,4.98
1160.0,2.5086234778145652e-05,2.4913765221854347e-05,7.159536461488629,4.98
1170.0,2.5083908857802748e-05,2.491609114219725e-05,7.171431090839682,4.98
1180.0,2.5081732652934038e-05,2.491826734706596e-05,7.18286039985857,4.98
1190.0,2.5079696526613088e-05,2.492030347338691e-05,7.193831035328397,4.98
1200.0,2.5077791462225782e-05,2.4922208537774224e-05,7.204350488104067,4.98
1210.0,2.5076009023541864e-05,2.4923990976458135e-05,7.214427034503763,4.98
1220.0,2.5074341317356666e-05,2.4925658682643333e-05,7.224069672962336,4.98
1230.0,2.5072780958537476e-05,2.492721904146253e-05,7.233288056968663,4.98
1240.0,2.507132103731977e-05,2.492867896268023e-05,7.242092425320292,4.98
1250.0,2.506995508870868e-05,2.493004491129132e-05,7.250493530712923,4.98
1260.0,2.506867706384985e-05,2.493132293615015e-05,7.2585025676484385,4.98
1270.0,2.5067481303243248e-05,2.493251869675675e-05,7.266131100585848,4.98
1280.0,2.5066362511681094e-05,2.4933637488318905e-05,7.273390993189313,4.98
1290.0,2.506531573479895e-05,2.493468426520105e-05,7.2802943394413075,4.98
1300.0,2.506433633713628e-05,2.493566366286372e-05,7.286853397294222,4.98
1310.0,2.5063419981609145e-05,2.493658001839086e-05,7.293080525435172,4.98
1320.0,2.5062562610304168e-05,2.493743738969583e-05,7.298988123636204,4.98
1330.0,2.5061760426508904e-05,2.4938239573491102e-05,7.3045885770603824,4.98
1340.0,2.5061009877898676e-05,2.493899012210133e-05,7.3098942047981295,4.98
1350.0,2.5060307640805826e-05,2.493969235919418e-05,7.314917212814547,4.98
1360.0,2.5059650605501445e-05,2.494034939449856e-05,7.3196696514043404,4.98
1370.0,2.5059035862424516e-05,2.494096413757549e-05,7.324163377173852,4.98
1380.0,2.50584606892974e-05,2.49415393107026e-05,7.328410019502914,4.98
1390.0,2.505792253907081e-05,2.494207746092919e-05,7.332420951379827,4.98
1400.0,2.50574190286446e-05,2.4942580971355404e-05,7.336207264455737,4.98
1410.0,2.5056947928314638e-05,2.4943052071685364e-05,7.339779748124801,4.98
1420.0,2.5056507151899037e-05,2.494349284810096e-05,7.343148872404883,4.98
1430.0,2.5056094747499836e-05,2.494390525250017e-05,7.346324774373363,4.98
1440.0,2.505570888885932e-05,2.494429111114068e-05,7.349317247895876,4.98
1450.0,2.505534786727288e-05,2.494465213272713e-05,7.352135736376913,4.98
1460.0,2.5055010084022257e-05,2.4944989915977742e-05,7.354789328260074,4.98
1470.0,2.505469404329592e-05,2.4945305956704087e-05,7.357286755007154,4.98
1480.0,2.505439834556514e-05,2.4945601654434867e-05,7.359636391289149,4.98
1490.0,2.505412168138644e-05,2.4945878318613558e-05,7.36184625713491,4.98
1500.0,2.505386282560296e-05,2.494613717439705e-05,7.363924021792181,4.98
1510.0,2.505362063191905e-05,2.494637936808095e-05,7.365877009070518,4.98
1520.0,2.5053394027824165e-05,2.494660597217584e-05,7.367712203949869,4.98
1530.0,2.505318200984337e-05,2.4946817990156632e-05,7.369436260255282,4.98
1540.0,2.5052983639093727e-05,2.494701636090628e-05,7.371055509212281,4.98
1550.0,2.5052798037126524e-05,2.494720196287348e-05,7.3725759687167445,4.98
1560.0,2.5052624382037304e-05,2.4947375617962695e-05,7.374003353165045,4.98
1570.0,2.505246190482617e-05,2.4947538095173833e-05,7.375343083708785,4.98
1580.0,2.5052309885992416e-05,2.4947690114007583e-05,7.376600298812188,4.98
1590.0,2.5052167652348364e-05,2.494783234765164e-05,7.377779865003298,4.98
1600.0,2.5052034574038253e-05,2.4947965425961746e-05,7.378886387724832,4.98
1610.0,2.5051910061749055e-05,2.4948089938250948e-05,7.379924222201565,4.98
1620.0,2.505179356410081e-05,2.49482064358992e-05,7.380897484252831,4.98
1630.0,2.505168456520491e-05,2.494831543479509e-05,7.381810060989481,4.98
1640.0,2.5051582582379644e-05,2.494841741762036e-05,7.382665621343538,4.98
1650.0,2.505148716401265e-05,2.4948512835987353e-05,7.383467626387103,4.98
1660.0,2.505139788756109e-05,2.494860211243891e-05,7.384219339405467,4.98
1670.0,2.505131435768049e-05,2.494868564231952e-05,7.384923835696051,4.98
1680.0,2.5051236204473967e-05,2.4948763795526032e-05,7.385584012070309,4.98
1690.0,2.505116308185436e-05,2.4948836918145645e-05,7.386202596041232,4.98
1700.0,2.505109466601144e-05,2.494890533398856e-05,7.3867821546854495,4.98
1710.0,2.505103065397814e-05,2.4948969346021866e-05,7.387325103169775,4.98
1720.0,2.505097076228883e-05,2.494902923771117e-05,7.387833712938847,4.98
1730.0,2.505091472572409e-05,2.494908527427592e-05,7.3883101195612815,4.98
1740.0,2.5050862296136214e-05,2.4949137703863785e-05,7.388756330235784,4.98
1750.0,2.505081324135033e-05,2.494918675864967e-05,7.389174230960928,4.98
1760.0,2.5050767344136263e-05,2.4949232655863736e-05,7.389565593371514,4.98
1770.0,2.5050724401246574e-05,2.4949275598753425e-05,7.389932081250364,4.98
1780.0,2.505068422251651e-05,2.494931577748349e-05,7.390275256721804,4.98
1790.0,2.505064663002189e-05,2.494935336997812e-05,7.3905965861357865,4.98
1800.0,2.505061145729119e-05,2.494938854270881e-05,7.39089744565262,5.05
1810.0,2.5039271293650185e-05,2.496072870634982e-05,7.500573709198015,5.05
1820.0,2.5028666027030746e-05,2.4971333972969253e-05,7.635947374215858,5.05
1830.0,2.501874803257934e-05,2.4981251967420666e-05,7.816269739073808,5.05
1840.0,2.5009472771761512e-05,2.4990527228238487e-05,8.092918252813286,5.05
1850.0,2.5000798592353532e-05,2.499920140764648e-05,8.629946390286669,5.05
1860.0,2.499268654139565e-05,2.500731345860435e-05,9.208785046278477,5.05
1870.0,2.4985100190266845e-05,2.501489980973316e-05,9.485948439160566,5.05
1880.0,2.4978005471095528e-05,2.502199452890447e-05,9.648847161681667,5.05
1890.0,2.4971370523771687e-05,2.502862947622832e-05,9.761115278682308,5.05
1900.0,2.4965165552873292e-05,2.503483444712671e-05,9.845256510445461,5.05
1910.0,2.495936269386469e-05,2.504063730613531e-05,9.911587310784297,5.05
1920.0,2.4953935887965812e-05,2.5046064112034194e-05,9.965664442891448,5.05
1930.0,2.4948860765130592e-05,2.505113923486941e-05,10.010816715641974,5.05
1940.0,2.4944114534608896e-05,2.505588546539111e-05,10.049193770639484,5.05
1950.0,2.493967588260057e-05,2.506032411739943e-05,10.082263460923189,5.05
1960.0,2.4935524876541987e-05,2.506447512345802e-05,10.111072239063413,5.05
1970.0,2.4931642875595263e-05,2.5068357124404736e-05,10.136392157560184,5.05
1980.0,2.4928012446938322e-05,2.507198755306169e-05,10.158808945356931,5.05
1990.0,2.4924617287479545e-05,2.5075382712520457e-05,10.178777384145826,5.05
2000.0,2.4921442150645928e-05,2.5078557849354075e-05,10.196657539477236,5.05
2010.0,2.491847277791554e-05,2.508152722208446e-05,10.212739272811843,5.05
2020.0,2.4915695834787093e-05,2.5084304165212906e-05,10.227259305415416,5.05
2030.0,2.491309885089899e-05,2.508690114910101e-05,10.240413393680974,5.05
2040.0,2.4910670164028892e-05,2.508932983597111e-05,10.252365205148836,5.05
2050.0,2.490839886772242e-05,2.509160113227758e-05,10.263252912855256,5.05
2060.0,2.49062747623158e-05,2.5093725237684203e-05,10.273194177443743,5.05
2070.0,2.490428830913239e-05,2.5095711690867608e-05,10.282289968061,5.05
2080.0,2.4902430587647585e-05,2.509756941235241e-05,10.290627532442592,5.05
2090.0,2.4900693255429576e-05,2.5099306744570426e-05,10.29828273393598,5.05
2100.0,2.489906851067617e-05,2.5100931489323832e-05,10.305321910859966,5.05
2110.0,2.4897549057179387e-05,2.5102450942820616e-05,10.311803370850766,5.05
2120.0,2.489612807156053e-05,2.510387192843947e-05,10.31777860302351,5.05
2130.0,2.4894799172628616e-05,2.5105200827371383e-05,10.323293269648968,5.05
2140.0,2.489355639272443e-05,2.510644360727557e-05,10.328388023859652,5.05
2150.0,2.489239415092172e-05,2.510760584907828e-05,10.333099188836732,5.05
2160.0,2.4891307227965022e-05,2.510869277203497e-05,10.33745932577716,5.05
2170.0,2.4890290742831703e-05,2.5109709257168296e-05,10.341497711859246,5.05
2180.0,2.4889340130812802e-05,2.5110659869187197e-05,10.345240744846436,5.05
2190.0,2.488845112301437e-05,2.5111548876985628e-05,10.348712287483874,5.05
2200.0,2.488761972718733e-05,2.5112380272812665e-05,10.351933962167063,5.05
2210.0,2.4886842209799482e-05,2.5113157790200517e-05,10.354925404292533,5.05
2220.0,2.488611507926941e-05,2.511388492073059e-05,10.357704481083136,5.05
2230.0,2.488543507028693e-05,2.511456492971307e-05,10.360287481409742,5.05
2240.0,2.4884799129149654e-05,2.5115200870850338e-05,10.362689281126023,5.05
2250.0,2.488420440004975e-05,2.511579559995025e-05,10.364923487630499,5.05
2260.0,2.488364821224942e-05,2.511635178775058e-05,10.367002566726338,5.05
2270.0,2.48831280680875e-05,2.51168719319125e-05,10.36893795433156,5.05
2280.0,2.4882641631763268e-05,2.511735836823673e-05,10.37074015517018,5.05
2290.0,2.488218671884709e-05,2.5117813281152913e-05,10.372418830232355,5.05
2300.0,2.488176128647085e-05,2.5118238713529144e-05,10.373982874509151,5.05
2310.0,2.4881363424154114e-05,2.5118636575845885e-05,10.375440486276421,5.05
2320.0,2.488099134522471e-05,2.511900865477529e-05,10.376799229009817,5.05
2330.0,2.4880643378795402e-05,2.5119356621204597e-05,10.37806608685371,5.05
2340.0,2.488031796226049e-05,2.5119682037739506e-05,10.37924751443361,5.05
2350.0,2.488001363427861e-05,2.511998636572139e-05,10.380349481690233,5.05
2360.0,2.4879729028210315e-05,2.5120270971789678e-05,10.381377514319276,5.05
2370.0,2.487946286598098e-05,2.5120537134019016e-05,10.382336730321988,5.05
2380.0,2.487921395234132e-05,2.5120786047658675e-05,10.38323187310445,5.05
2390.0,2.4878981169499968e-05,2.512101883050002e-05,10.384067341506217,5.05
2400.0,2.487876347210379e-05,2.512123652789621e-05,10.384847217090877,5.05
2410.0,2.487855988254353e-05,2.512144011745647e-05,10.38557528898861,5.05
2420.0,2.487836948656373e-05,2.512163051343626e-05,10.386255076545837,5.05
2430.0,2.4878191429157087e-05,2.5121808570842912e-05,10.386889850006245,5.05
2440.0,2.487802491072481e-05,2.512197508927518e-05,10.387482649420338,5.05
2450.0,2.487786918348602e-05,2.512213081651397e-05,10.388036301958172,5.05
2460.0,2.4877723548119588e-05,2.5122276451880405e-05,10.388553437780363,5.05
2470.0,2.487758735062376e-05,2.5122412649376235e-05,10.389036504604244,5.05
2480.0,2.4877459979379224e-05,2.512254002062077e-05,10.389487781087444,5.05
2490.0,2.4877340862402546e-05,2.512265913759745e-05,10.389909389138136,5.05
2500.0,2.4877229464777555e-05,2.512277053522244e-05,10.390303305249047,5.05
2510.0,2.4877125286253227e-05,2.5122874713746765e-05,10.390671370942618,5.05
2520.0,2.487702785899719e-05,2.512297214100281e-05,10.39101530240575,5.05
2530.0,2.487693674549487e-05,2.512306325450513e-05,10.391336699383737,5.05
2540.0,2.487685153658472e-05,2.512314846341528e-05,10.391637053398027,5.05
2550.0,2.4876771849620832e-05,2.512322815037917e-05,10.391917755343648,5.05
2560.0,2.4876697326754598e-05,2.51233026732454e-05,10.392180102518816,5.05
2570.0,2.48766276333277e-05,2.5123372366672297e-05,10.392425305133255,5.05
2580.0,2.487656245636931e-05,2.5123437543630684e-05,10.392654492337325,5.05
2590.0,2.4876501503190586e-05,2.512349849680941e-05,10.392868717811288,5.05
